id,first_name,last_name,visitors,sales,date,cart
1,Raphaela,Meeks,10,2,3/24/2025,73
2,Bank,Barthot,8,7,10/26/2024,70
3,Johny,Pretti,3,0,10/26/2024,78
4,Connie,Mackiewicz,7,3,3/14/2025,71
5,Randa,Douthwaite,7,4,1/20/2025,20
6,Saunder,Milksop,2,5,09-10-2024,95
7,Shena,Patek,4,9,2/24/2025,80
8,Christalle,Jennions,9,13,01-03-2025,55
9,Terrye,Turbat,8,18,2/19/2025,43
10,Vidovic,Watts,15,5,08-05-2024,55
11,Jaclyn,Di Antonio,12,2,03-11-2025,87
12,Kelcie,Hanselmann,21,32,10-10-2024,94
13,Amanda,Vasilmanov,16,2,11/16/2024,6
14,Pyotr,Turfrey,23,47,1/14/2025,52
15,Agace,Mandel,9,12,2/17/2025,93
16,Byram,Prater,13,14,08-09-2024,22
17,Hercules,Gooderick,1,0,5/15/2025,94
18,Christoforo,Lenahan,12,16,10-04-2024,19
19,Jordon,Starling,7,2,5/17/2025,16
20,Archy,Cudihy,10,8,10/26/2024,23
